,feature_name,importance
397,Column_397,0
396,Column_396,0
403,Column_403,0
413,Column_413,0
414,Column_414,0
415,Column_415,0
432,Column_432,0
431,Column_431,0
430,Column_430,0
429,Column_429,0
428,Column_428,0
427,Column_427,0
426,Column_426,0
517,Column_517,0
424,Column_424,0
423,Column_423,0
422,Column_422,0
421,Column_421,0
420,Column_420,0
419,Column_419,0
418,Column_418,0
417,Column_417,0
416,Column_416,0
1461,Column_1461,0
394,Column_394,0
393,Column_393,0
1462,Column_1462,0
370,Column_370,0
369,Column_369,0
368,Column_368,0
367,Column_367,0
366,Column_366,0
365,Column_365,0
364,Column_364,0
363,Column_363,0
362,Column_362,0
361,Column_361,0
360,Column_360,0
359,Column_359,0
358,Column_358,0
357,Column_357,0
356,Column_356,0
355,Column_355,0
354,Column_354,0
371,Column_371,0
433,Column_433,0
372,Column_372,0
374,Column_374,0
391,Column_391,0
1463,Column_1463,0
389,Column_389,0
388,Column_388,0
1464,Column_1464,0
1465,Column_1465,0
1466,Column_1466,0
384,Column_384,0
383,Column_383,0
382,Column_382,0
381,Column_381,0
380,Column_380,0
379,Column_379,0
378,Column_378,0
377,Column_377,0
376,Column_376,0
375,Column_375,0
373,Column_373,0
434,Column_434,0
425,Column_425,0
436,Column_436,0
491,Column_491,0
490,Column_490,0
489,Column_489,0
488,Column_488,0
487,Column_487,0
1456,Column_1456,0
1457,Column_1457,0
1458,Column_1458,0
492,Column_492,0
1459,Column_1459,0
481,Column_481,0
480,Column_480,0
479,Column_479,0
435,Column_435,0
477,Column_477,0
476,Column_476,0
475,Column_475,0
474,Column_474,0
482,Column_482,0
493,Column_493,0
1455,Column_1455,0
495,Column_495,0
515,Column_515,0
514,Column_514,0
513,Column_513,0
512,Column_512,0
511,Column_511,0
510,Column_510,0
509,Column_509,0
508,Column_508,0
507,Column_507,0
506,Column_506,0
505,Column_505,0
504,Column_504,0
503,Column_503,0
501,Column_501,0
500,Column_500,0
1454,Column_1454,0
498,Column_498,0
497,Column_497,0
496,Column_496,0
473,Column_473,0
472,Column_472,0
478,Column_478,0
453,Column_453,0
454,Column_454,0
471,Column_471,0
452,Column_452,0
451,Column_451,0
450,Column_450,0
449,Column_449,0
448,Column_448,0
447,Column_447,0
455,Column_455,0
446,Column_446,0
444,Column_444,0
443,Column_443,0
442,Column_442,0
441,Column_441,0
440,Column_440,0
439,Column_439,0
438,Column_438,0
437,Column_437,0
445,Column_445,0
456,Column_456,0
1374,Column_1374,0
457,Column_457,0
470,Column_470,0
469,Column_469,0
468,Column_468,0
467,Column_467,0
466,Column_466,0
465,Column_465,0
464,Column_464,0
462,Column_462,0
461,Column_461,0
463,Column_463,0
458,Column_458,0
459,Column_459,0
460,Column_460,0
73,Column_73,1
60,Column_60,1
80,Column_80,1
1566,Column_1566,1
1560,Column_1560,1
31,Column_31,1
30,Column_30,1
25,Column_25,1
29,Column_29,1
1551,Column_1551,1
93,Column_93,1
748,Column_748,1
69,Column_69,1
70,Column_70,1
716,Column_716,1
502,Column_502,1
989,Column_989,1
1119,Column_1119,1
14,Column_14,1
59,Column_59,1
1570,Column_1570,2
1578,Column_1578,2
1579,Column_1579,2
1590,Column_1590,2
392,Column_392,2
1000,Column_1000,2
741,Column_741,2
45,Column_45,2
1215,Column_1215,2
12,Column_12,2
55,Column_55,2
83,Column_83,2
1574,Column_1574,3
280,Column_280,3
1558,Column_1558,3
90,Column_90,3
89,Column_89,3
85,Column_85,3
82,Column_82,3
984,Column_984,3
56,Column_56,3
1584,Column_1584,3
48,Column_48,3
40,Column_40,3
23,Column_23,3
21,Column_21,3
79,Column_79,4
1506,Column_1506,4
88,Column_88,4
49,Column_49,4
494,Column_494,4
20,Column_20,4
981,Column_981,4
81,Column_81,4
18,Column_18,4
1241,Column_1241,4
1582,Column_1582,4
607,Column_607,5
1445,Column_1445,5
38,Column_38,5
1571,Column_1571,6
979,Column_979,6
37,Column_37,6
398,Column_398,6
11,Column_11,6
66,Column_66,6
84,Column_84,7
57,Column_57,7
92,Column_92,7
1561,Column_1561,7
7,Column_7,7
62,Column_62,7
86,Column_86,8
695,Column_695,8
94,Column_94,8
53,Column_53,8
6,Column_6,8
